,full_name,surname,far_right,years,country_name,epg_code,epg_names,national_party_id,national_party_name,national_party_family
855,DE SARNEZ Marielle,de,0,1999-2004,France,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1414,Union pour la démocratie française / Union pour la démocratie française - Force démocrate / Union pour la démocratie française - Parti populaire pour la démocratie française / Union pour la France en Europe,Con
856,DÉSIR Harlem,désir,0,1999-2004,France,S,"['Socialist Group', 'Party of European Socialists']",1412,Parti Socialiste,Soc
857,DE VEYRAC Christine,de,0,1999-2004,France,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1418,sans étiquette (Independent),Ind
858,DUHAMEL Olivier,duhamel,0,1999-2004,France,S,"['Socialist Group', 'Party of European Socialists']",1412,Parti Socialiste,Soc
859,ESCLOPÉ Alain,esclopé,1,1999-2004,France,A,"['Independents for a European of Nations', 'Europe of Democracies and Diversities']",1403,"Chasse, Pêche, Nature, Traditions",Anti-EU
860,FERREIRA Anne,ferreira,0,1999-2004,France,S,"['Socialist Group', 'Party of European Socialists']",1412,Parti Socialiste,Soc
861,FLAUTRE Hélène,flautre,0,1999-2004,France,V,"['Green Group', 'Greens/European Free Alliance']",1416,Les Verts,Grn
862,FONTAINE Nicole,fontaine,0,1999-2004,France,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1414,Union pour la démocratie française / Union pour la démocratie française - Force démocrate / Union pour la démocratie française - Parti populaire pour la démocratie française / Union pour la France en Europe,Con
863,FOURTOU Janelly,fourtou,0,1999-2004,France,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1414,Union pour la démocratie française / Union pour la démocratie française - Force démocrate / Union pour la démocratie française - Parti populaire pour la démocratie française / Union pour la France en Europe,Con
864,FRAISSE Geneviève,fraisse,0,1999-2004,France,M,"['Communist Group', 'European United Left/Nordic Green Left', 'European United Left']",1418,sans étiquette (Independent),Ind
865,FRUTEAU Jean-Claude ,fruteau,0,1999-2004,France,S,"['Socialist Group', 'Party of European Socialists']",1412,Parti Socialiste,Soc
866,GARAUD Marie-Françoise,garaud,1,1999-2004,France,N,"['Technical Coordination of Democrats and Independents', 'Non-attached', 'Technical Group of Independents']",1418,sans étiquette (Independent),Ind
867,GAROT Georges,garot,0,1999-2004,France,S,"['Socialist Group', 'Party of European Socialists']",1412,Parti Socialiste,Soc
868,GAULLE Charles de,gaulle,1,1999-2004,France,N,"['Technical Coordination of Democrats and Independents', 'Non-attached', 'Technical Group of Independents']",1406,Front national,Right
869,GILLIG Marie-Hélène,gillig,0,1999-2004,France,S,"['Socialist Group', 'Party of European Socialists']",1412,Parti Socialiste,Soc
870,GOLLNISCH Bruno,gollnisch,1,1999-2004,France,N,"['Technical Coordination of Democrats and Independents', 'Non-attached', 'Technical Group of Independents']",1406,Front national,Right
871,GROSSETÊTE Françoise,grossetête,0,1999-2004,France,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1410,Parti républicain / Démocratie libérale,Con
