,full_name,surname,far_right,years,country_name,epg_code,epg_names,national_party_id,national_party_name,national_party_family
728,WHITEHEAD Phillip,whitehead,0,1994-1999,U.K.,S,"['Socialist Group', 'Party of European Socialists']",2404,Labour Party,Soc
729,WIBE Sören,wibe,0,1994-1999,Sweden,S,"['Socialist Group', 'Party of European Socialists']",2306,Socialdemokratiska arbetarepartiet,Soc
730,WIEBENGA Jan-Kees,wiebenga,0,1994-1999,Netherlands,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1909,Volkspartij voor Vrijheid en Democratie,L
731,WIELAND Rainer,wieland,0,1994-1999,Germany,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1201,Christlich Demokratische Union,CDem
732,WIERSMA Jan Marinus,wiersma,0,1994-1999,Netherlands,S,"['Socialist Group', 'Party of European Socialists']",1906,Partij van de Arbeid,Soc
733,WIJSENBEEK Florus A.,wijsenbeek,0,1994-1999,Netherlands,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1909,Volkspartij voor Vrijheid en Democratie,L
734,WILLOCKX Frederik A.A.,willockx,0,1994-1999,Belgium,S,"['Socialist Group', 'Party of European Socialists']",1111,Socialistische Partij,Soc
735,WILSON Anthony Joseph (Joe),wilson,0,1994-1999,U.K.,S,"['Socialist Group', 'Party of European Socialists']",2404,Labour Party,Soc
736,WOLF Friedrich,wolf,0,1994-1999,Germany,V,"['Green Group', 'Greens/European Free Alliance']",1204,Bündnis 90/Die Grünen,Grn
737,WURTH-POLFER Lydie,wurth-polfer,0,1994-1999,Luxembourg,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1802,Parti démcratique,Lib
738,WURTZ Francis,wurtz,0,1994-1999,France,M,"['Communist Group', 'European United Left/Nordic Green Left', 'European United Left']",1409,Parti communiste française / Gauche unitaire / Parti communiste réunionnais,Left
739,WYNN Terence,wynn,0,1994-1999,U.K.,S,"['Socialist Group', 'Party of European Socialists']",2404,Labour Party,Soc
740,ZIMMERMANN Wilmya,zimmermann,0,1994-1999,Germany,S,"['Socialist Group', 'Party of European Socialists']",1207,Sozialdemokratische Partei Deutschlands,Soc
741,ZAPPALA' Stefano,zappala',0,1994-1999,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1608,Forza Italia,Con
742,BERGER Maria,berger,0,1999-2004,Austria,S,"['Socialist Group', 'Party of European Socialists']",1005,Sozialdemokratische Partei Österreichs,Soc
743,BÖSCH Herbert,bösch,0,1999-2004,Austria,S,"['Socialist Group', 'Party of European Socialists']",1005,Sozialdemokratische Partei Österreichs,Soc
744,ECHERER Raina A. Mercedes,echerer,0,1999-2004,Austria,V,"['Green Group', 'Greens/European Free Alliance']",1002,Die Grünen – Die Grüne Alternative,Grn
745,ETTL Harald,ettl,0,1999-2004,Austria,S,"['Socialist Group', 'Party of European Socialists']",1005,Sozialdemokratische Partei Österreichs,Soc
746,FLEMMING Marialiese,flemming,0,1999-2004,Austria,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1004,Österreichische Volkspartei,CDem
747,HAGER Gerhard,hager,1,1999-2004,Austria,N,"['Technical Coordination of Democrats and Independents', 'Non-attached', 'Technical Group of Independents']",1001,Freiheitliche Partei Österreichs,Right
748,ILGENFRITZ Wolfgang,ilgenfritz,1,1999-2004,Austria,N,"['Technical Coordination of Democrats and Independents', 'Non-attached', 'Technical Group of Independents']",1001,Freiheitliche Partei Österreichs,Right
749,KARAS Othmar,karas,0,1999-2004,Austria,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1004,Österreichische Volkspartei,CDem
750,KRONBERGER Hans,kronberger,1,1999-2004,Austria,N,"['Technical Coordination of Democrats and Independents', 'Non-attached', 'Technical Group of Independents']",1001,Freiheitliche Partei Österreichs,Right
751,MARTIN Hans-Peter,martin,0,1999-2004,Austria,S,"['Socialist Group', 'Party of European Socialists']",1005,Sozialdemokratische Partei Österreichs,Soc
752,PIRKER Hubert,pirker,0,1999-2004,Austria,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1004,Österreichische Volkspartei,CDem
753,PRETS Christa,prets,0,1999-2004,Austria,S,"['Socialist Group', 'Party of European Socialists']",1005,Sozialdemokratische Partei Österreichs,Soc
754,RACK Reinhard,rack,0,1999-2004,Austria,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1004,Österreichische Volkspartei,CDem
755,RASCHHOFER Daniela,raschhofer,1,1999-2004,Austria,N,"['Technical Coordination of Democrats and Independents', 'Non-attached', 'Technical Group of Independents']",1001,Freiheitliche Partei Österreichs,Right
756,RÜBIG Paul,rübig,0,1999-2004,Austria,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1004,Österreichische Volkspartei,CDem
757,SCHEELE Karin,scheele,0,1999-2004,Austria,S,"['Socialist Group', 'Party of European Socialists']",1005,Sozialdemokratische Partei Österreichs,Soc
758,SCHIERHUBER Agnes,schierhuber,0,1999-2004,Austria,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1004,Österreichische Volkspartei,CDem
759,SICHROVSKY Peter,sichrovsky,1,1999-2004,Austria,N,"['Technical Coordination of Democrats and Independents', 'Non-attached', 'Technical Group of Independents']",1001,Freiheitliche Partei Österreichs,Right
760,STENZEL Ursula,stenzel,0,1999-2004,Austria,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1004,Österreichische Volkspartei,CDem
761,SWOBODA Johannes (Hannes),swoboda,0,1999-2004,Austria,S,"['Socialist Group', 'Party of European Socialists']",1005,Sozialdemokratische Partei Österreichs,Soc
762,VOGGENHUBER Johannes,voggenhuber,0,1999-2004,Austria,V,"['Green Group', 'Greens/European Free Alliance']",1002,Die Grünen – Die Grüne Alternative,Grn
763,BEYSEN Ward,beysen,0,1999-2004,Belgium,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1110,Vlaamse liberalen en democraten,Lib
764,DE CLERCQ Willy C.E.H.,de,0,1999-2004,Belgium,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1110,Vlaamse liberalen en democraten,Lib
765,DEHOUSSE Jean-Maurice,dehousse,0,1999-2004,Belgium,S,"['Socialist Group', 'Party of European Socialists']",1108,Parti socialiste,Soc
766,DEPREZ Gérard M.J.,deprez,0,1999-2004,Belgium,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1105,Front démocratique des francophones / Mouvement des Citoyens pour le Changement,Reg
767,DESAMA Claude J.-M.J.,desama,0,1999-2004,Belgium,S,"['Socialist Group', 'Party of European Socialists']",1108,Parti socialiste,Soc
768,DILLEN Karel C.C.,dillen,1,1999-2004,Belgium,N,"['Technical Coordination of Democrats and Independents', 'Non-attached', 'Technical Group of Independents']",1112,Vlaams Blok,Right
769,DUCARME Daniel,ducarme,0,1999-2004,Belgium,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1107,Parti réformateur libéral,Lib
770,FRASSONI Monica,frassoni,0,1999-2004,Belgium,V,"['Green Group', 'Greens/European Free Alliance']",1104,Ecolo,Grn
771,GROSCH Mathieu J.H.,grosch,0,1999-2004,Belgium,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1102,Christlische Soziale Partei: Europäische Volkspartei,CDem
772,HANSENNE Michel,hansenne,0,1999-2004,Belgium,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1109,Parti social-chrétien,CDem
773,JONCKHEER Pierre,jonckheer,0,1999-2004,Belgium,V,"['Green Group', 'Greens/European Free Alliance']",1104,Ecolo,Grn
774,LANNOYE Paul A.A.J.G.,lannoye,0,1999-2004,Belgium,V,"['Green Group', 'Greens/European Free Alliance']",1104,Ecolo,Grn
775,MAES Nelly,maes,0,1999-2004,Belgium,V,"['Green Group', 'Greens/European Free Alliance']",1113,Volskunie / België Spirit,Reg
776,RIES Frédérique,ries,0,1999-2004,Belgium,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1107,Parti réformateur libéral,Lib
777,SMET Miet,smet,0,1999-2004,Belgium,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1103,Christelijke Volkspartij / Christen-Democratisch & Vlaams,CDem
778,SÖRENSEN Patsy,sörensen,0,1999-2004,Belgium,V,"['Green Group', 'Greens/European Free Alliance']",1101,"Anders gaan arbeiden, leven en vrijen",Grn
779,STAES Bart,staes,0,1999-2004,Belgium,V,"['Green Group', 'Greens/European Free Alliance']",1113,Volskunie / België Spirit,Reg
780,STERCKX Dirk,sterckx,0,1999-2004,Belgium,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1110,Vlaamse liberalen en democraten,Lib
781,THIELEMANS Freddy,thielemans,0,1999-2004,Belgium,S,"['Socialist Group', 'Party of European Socialists']",1108,Parti socialiste,Soc
782,THYSSEN Marianne L.P.,thyssen,0,1999-2004,Belgium,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1103,Christelijke Volkspartij / Christen-Democratisch & Vlaams,CDem
783,VAN BREMPT Kathleen,van,0,1999-2004,Belgium,S,"['Socialist Group', 'Party of European Socialists']",1111,Socialistische Partij,Soc
784,VANDER TAELEN Luckas,vander,0,1999-2004,Belgium,V,"['Green Group', 'Greens/European Free Alliance']",1101,"Anders gaan arbeiden, leven en vrijen",Grn
785,VANHECKE Frank,vanhecke,1,1999-2004,Belgium,N,"['Technical Coordination of Democrats and Independents', 'Non-attached', 'Technical Group of Independents']",1112,Vlaams Blok,Right
786,VAN HECKE Johan,van,0,1999-2004,Belgium,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1103,Christelijke Volkspartij / Christen-Democratisch & Vlaams,CDem
787,VAN LANCKER Anne E.M.,van,0,1999-2004,Belgium,S,"['Socialist Group', 'Party of European Socialists']",1111,Socialistische Partij,Soc
788,BOSSU Peter,bossu,0,1999-2004,Belgium,S,"['Socialist Group', 'Party of European Socialists']",1108,Parti socialiste,Soc
789,SANTKIN Jacques,santkin,0,1999-2004,Belgium,S,"['Socialist Group', 'Party of European Socialists']",1108,Parti socialiste,Soc
790,ZRIHEN Olga,zrihen,0,1999-2004,Belgium,S,"['Socialist Group', 'Party of European Socialists']",1108,Parti socialiste,Soc
791,BUSQUIN Philippe,busquin,0,1999-2004,Belgium,S,"['Socialist Group', 'Party of European Socialists']",1108,Parti socialiste,Soc
792,ANDRÉ-LÉONARD Anne,andré-léonard,0,1999-2004,Belgium,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1107,Parti réformateur libéral,Lib
793,CLAEYS Philip,claeys,1,1999-2004,Belgium,N,"['Technical Coordination of Democrats and Independents', 'Non-attached', 'Technical Group of Independents']",1112,Vlaams Blok,Right
794,DE KEYSER Véronique,de,0,1999-2004,Belgium,S,"['Socialist Group', 'Party of European Socialists']",1108,Parti socialiste,Soc
795,DILLEN Koenraad,dillen,1,1999-2004,Belgium,N,"['Technical Coordination of Democrats and Independents', 'Non-attached', 'Technical Group of Independents']",1112,Vlaams Blok,Right
796,EL KHADRAOUI Säid,el,0,1999-2004,Belgium,S,"['Socialist Group', 'Party of European Socialists']",1111,Socialistische Partij,Soc
797,ANDREASEN Ole,andreasen,0,1999-2004,Denmark,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1711,Venstre,Lib
798,BLAK Freddy,blak,0,1999-2004,Denmark,M,"['Communist Group', 'European United Left/Nordic Green Left', 'European United Left']",1708,Socialdemokratiet,Soc
799,BONDE Jens-Peter,bonde,1,1999-2004,Denmark,A,"['Independents for a European of Nations', 'Europe of Democracies and Diversities']",1705,JuniBevægelsen,Anti-EU
800,BUSK Niels,busk,0,1999-2004,Denmark,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1711,Venstre,Lib
801,CAMRE Mogens N.J.,camre,1,1999-2004,Denmark,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",1702,Dansk Folkeparti,Con
802,DYBKJÆR Lone,dybkjær,0,1999-2004,Denmark,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1707,Det Radikale Venstre,Lib
803,FRAHM Pernille,frahm,0,1999-2004,Denmark,M,"['Communist Group', 'European United Left/Nordic Green Left', 'European United Left']",1709,Socialistisk Folkeparti,Left
804,HAARDER Bertel,haarder,0,1999-2004,Denmark,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1711,Venstre,Lib
805,JENSEN Anne Elisabet,jensen,0,1999-2004,Denmark,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1711,Venstre,Lib
806,KRARUP Ole,krarup,0,1999-2004,Denmark,M,"['Communist Group', 'European United Left/Nordic Green Left', 'European United Left']",1703,Folkebevægelsen mod EF - Unionen,Anti-EU
